,Unnamed: 0,Material_id,Space_group
0,0,mp-1006056,Fm-3m
1,1,mp-1008472,Fm-3m
2,2,mp-10131,Fm-3m
3,3,mp-1013534,Pm-3m
4,4,mp-1013541,Pm-3m
5,5,mp-1013542,Pm-3m
6,6,mp-1013586,Pm-3m
7,7,mp-1013709,Pm-3m
8,8,mp-10140,Pm-3m
9,9,mp-1020020,Pm-3m
10,10,mp-1025460,Fm-3m
11,11,mp-1030447,P3m1
12,12,mp-1030504,P3m1
13,13,mp-1030565,P3m1
14,14,mp-1040938,P3m1
15,15,mp-1044582,P3m1
16,16,mp-1045736,Pc
17,17,mp-10602,Pm-3m
18,18,mp-1064865,Fm-3m
19,19,mp-1067042,Fm-3m
20,20,mp-1078746,Fm-3m
21,21,mp-1079107,Fm-3m
22,22,mp-1079457,Fm-3m
23,23,mp-1079788,Pm-3m
24,24,mp-1080187,Pm-3m
25,25,mp-1080847,Pm-3m
26,26,mp-1084748,Fm-3m
27,27,mp-1094092,Fm-3m
28,28,mp-1101333,Pm-3m
29,29,mp-1111074,Fm-3m
30,30,mp-1111868,Pm-3m
31,31,mp-1112965,Fm-3m
32,32,mp-1147674,Pm-3m
33,33,mp-1147702,Pm-3m
34,34,mp-1178268,Pm-3m
35,35,mp-1180492,Pc
36,36,mp-1183065,Fm-3m
37,37,mp-1183160,Pm-3m
38,38,mp-1183182,Fm-3m
39,39,mp-1183199,Fm-3m
40,40,mp-1183393,Pm-3m
41,41,mp-1183631,Pm-3m
42,42,mp-1183681,Pm-3m
43,43,mp-1183917,Pm-3m
44,44,mp-1183922,Pm-3m
45,45,mp-1183925,Pm-3m
46,46,mp-1184005,Fm-3m
47,47,mp-1184083,Fm-3m
48,48,mp-1184158,Fm-3m
49,49,mp-1184162,Pm-3m
50,50,mp-1184215,Pm-3m
51,51,mp-1184427,Fm-3m
52,52,mp-1184486,Pm-3m
53,53,mp-1184629,Fm-3m
54,54,mp-1184641,Pm-3m
55,55,mp-1184830,Fm-3m
56,56,mp-1184941,Pm-3m
57,57,mp-1185122,Pm-3m
58,58,mp-1185357,Pm-3m
59,59,mp-1185889,Pm-3m
60,60,mp-1185996,Pm-3m
61,61,mp-1186101,Pm-3m
62,62,mp-1186153,Pm-3m
63,63,mp-1186345,Pm-3m
64,64,mp-1186349,Pm-3m
65,65,mp-1186662,Pm-3m
66,66,mp-1186697,Fm-3m
67,67,mp-1186955,Fm-3m
68,68,mp-1187145,Pm-3m
69,69,mp-1187147,Pm-3m
70,70,mp-1187347,Pm-3m
71,71,mp-1187389,Pm-3m
72,72,mp-1187419,Fm-3m
73,73,mp-1187569,Pm-3m
74,74,mp-1187577,Pm-3m
75,75,mp-1187621,Pm-3m
76,76,mp-1187767,Pm-3m
77,77,mp-1187784,Pm-3m
78,78,mp-1187800,Fm-3m
79,79,mp-1193221,Fm-3m
80,80,mp-1193450,Fm-3m
81,81,mp-1193830,Fm-3m
82,82,mp-1193995,Fm-3m
83,83,mp-1194935,Fm-3m
84,84,mp-1206518,Pm-3m
85,85,mp-1206805,Pm-3m
86,86,mp-1206922,Pm-3m
87,87,mp-1207078,Pm-3m
88,88,mp-1207079,Pm-3m
89,89,mp-1207135,Pm-3m
90,90,mp-1209766,Pm-3m
91,91,mp-1216698,P3m1
92,92,mp-1219720,P3m1
93,93,mp-1221395,P3m1
94,94,mp-1225685,P3m1
95,95,mp-13923,Pc
96,96,mp-16358,Fm-3m
97,97,mp-20325,Pm-3m
98,98,mp-20864,Fm-3m
99,99,mp-21171,Fm-3m
100,100,mp-21551,Fm-3m
101,101,mp-21666,Fm-3m
102,102,mp-21854,Pm-3m
103,103,mp-22372,Fm-3m
104,104,mp-22685,Fm-3m
105,105,mp-23026,Pm-3m
106,106,mp-23037,Pm-3m
107,107,mp-23376,Pc
108,108,mp-27315,Fm-3m
109,109,mp-28069,Pm-3m
110,110,mp-29101,Pm-3m
111,111,mp-2943,Fm-3m
112,112,mp-30450,Fm-3m
113,113,mp-30592,Fm-3m
114,114,mp-3337,Fm-3m
115,115,mp-33723,P3m1
116,116,mp-3499,Fm-3m
117,117,mp-3574,Fm-3m
118,118,mp-35835,Pc
119,119,mp-3791,Fm-3m
120,120,mp-4346,Pm-3m
121,121,mp-4502,Fm-3m
122,122,mp-4955,Fm-3m
123,123,mp-505473,Fm-3m
124,124,mp-5116,Pc
125,125,mp-5181,Fm-3m
126,126,mp-531238,P3m1
127,127,mp-5382,Fm-3m
128,128,mp-540419,Pc
129,129,mp-541851,Fm-3m
130,130,mp-541852,Fm-3m
131,131,mp-542728,Fm-3m
132,132,mp-542996,Fm-3m
133,133,mp-555036,Pm-3m
134,134,mp-5669,Fm-3m
135,135,mp-568562,Fm-3m
136,136,mp-570166,Fm-3m
137,137,mp-570457,Fm-3m
138,138,mp-570661,Fm-3m
139,139,mp-574239,Pm-3m
140,140,mp-579768,Pm-3m
141,141,mp-581707,Fm-3m
142,142,mp-610190,Fm-3m
143,143,mp-614489,Fm-3m
144,144,mp-625254,Pc
145,145,mp-625723,Pc
146,146,mp-630265,Fm-3m
147,147,mp-631277,Fm-3m
148,148,mp-631330,Fm-3m
149,149,mp-631455,Fm-3m
150,150,mp-631465,Fm-3m
151,151,mp-631481,Fm-3m
152,152,mp-631498,Fm-3m
153,153,mp-631535,Fm-3m
154,154,mp-632715,Fm-3m
155,155,mp-632808,Pm-3m
156,156,mp-636953,Fm-3m
157,157,mp-638729,Fm-3m
158,158,mp-640266,Pm-3m
159,159,mp-640562,Fm-3m
160,160,mp-641575,Fm-3m
161,161,mp-641775,Fm-3m
162,162,mp-642281,Fm-3m
163,163,mp-642418,Fm-3m
164,164,mp-643279,Fm-3m
165,165,mp-662609,Fm-3m
166,166,mp-672229,Pm-3m
167,167,mp-672275,Fm-3m
168,168,mp-672340,Fm-3m
169,169,mp-672657,Fm-3m
170,170,mp-672677,Fm-3m
171,171,mp-675009,Pc
172,172,mp-675371,P3m1
173,173,mp-676113,P3m1
174,174,mp-676725,Pc
175,175,mp-676804,Pc
176,176,mp-677073,Pc
177,177,mp-685267,P3m1
178,178,mp-685514,Pc
179,179,mp-686043,Pc
180,180,mp-686044,P3m1
181,181,mp-686094,P3m1
182,182,mp-686293,Pc
183,183,mp-690789,Fm-3m
184,184,mp-6951,Pm-3m
185,185,mp-6952,Pm-3m
186,186,mp-698565,P3m1
187,187,mp-699325,P3m1
188,188,mp-705019,Pc
189,189,mp-705606,P3m1
190,190,mp-706250,P3m1
191,191,mp-7130,Pm-3m
192,192,mp-7143,Pm-3m
193,193,mp-7144,Pm-3m
194,194,mp-7159,Pm-3m
195,195,mp-7166,Pm-3m
196,196,mp-7167,Pm-3m
197,197,mp-7223,Pm-3m
198,198,mp-723064,Pc
199,199,mp-7482,Pm-3m
200,200,mp-753171,Pc
201,201,mp-753211,P3m1
202,202,mp-754892,Pm-3m
203,203,mp-755572,Pm-3m
204,204,mp-760825,Pc
205,205,mp-762319,Pc
206,206,mp-763047,Pc
207,207,mp-763616,Pc
208,208,mp-763685,Pc
209,209,mp-763997,Pc
210,210,mp-763998,Pc
211,211,mp-764245,P3m1
212,212,mp-764284,Pc
213,213,mp-764296,Pc
214,214,mp-764450,Pc
215,215,mp-764758,Fm-3m
216,216,mp-766903,Pc
217,217,mp-766910,Pc
218,218,mp-767020,Pc
219,219,mp-771317,Pc
220,220,mp-771883,Pc
221,221,mp-771948,Pc
222,222,mp-773521,Pc
223,223,mp-773996,Pc
224,224,mp-777714,Pc
225,225,mp-778708,Pc
226,226,mp-778724,Pc
227,227,mp-778735,Pc
228,228,mp-778751,Pc
229,229,mp-779170,Pc
230,230,mp-779199,Pc
231,231,mp-779274,Pc
232,232,mp-780184,Pc
233,233,mp-780238,Pc
234,234,mp-780569,P3m1
235,235,mp-780590,Pc
236,236,mp-780855,Pc
237,237,mp-782669,Pc
238,238,mp-7986,Pm-3m
239,239,mp-8037,Pm-3m
240,240,mp-8217,Fm-3m
241,241,mp-8218,Pm-3m
242,242,mp-8370,Pm-3m
243,243,mp-8396,Pm-3m
244,244,mp-8397,Pm-3m
245,245,mp-8402,Pm-3m
246,246,mp-8414,Fm-3m
247,247,mp-850954,Pc
248,248,mp-861499,Fm-3m
249,249,mp-861506,Fm-3m
250,250,mp-861625,Fm-3m
251,251,mp-861640,Fm-3m
252,252,mp-861657,Fm-3m
253,253,mp-861658,Fm-3m
254,254,mp-861662,Fm-3m
255,255,mp-861736,Fm-3m
256,256,mp-861908,Fm-3m
257,257,mp-861950,Fm-3m
258,258,mp-861956,Fm-3m
259,259,mp-861958,Fm-3m
260,260,mp-861985,Fm-3m
261,261,mp-862331,Fm-3m
262,262,mp-862340,Fm-3m
263,263,mp-862366,Fm-3m
264,264,mp-862372,Fm-3m
265,265,mp-862602,Fm-3m
266,266,mp-862631,Fm-3m
267,267,mp-862712,Fm-3m
268,268,mp-862742,Fm-3m
269,269,mp-862752,Fm-3m
270,270,mp-862777,Fm-3m
271,271,mp-862829,Fm-3m
272,272,mp-862894,Fm-3m
273,273,mp-862919,Fm-3m
274,274,mp-862929,Fm-3m
275,275,mp-862932,Fm-3m
276,276,mp-862934,Fm-3m
277,277,mp-862964,Fm-3m
278,278,mp-863667,Fm-3m
279,279,mp-863676,Fm-3m
280,280,mp-864625,Fm-3m
281,281,mp-864640,Fm-3m
282,282,mp-864659,Fm-3m
283,283,mp-864761,Fm-3m
284,284,mp-864800,Fm-3m
285,285,mp-864805,Fm-3m
286,286,mp-864807,Fm-3m
287,287,mp-864878,Fm-3m
288,288,mp-864940,Fm-3m
289,289,mp-864961,Fm-3m
290,290,mp-864969,Fm-3m
291,291,mp-865011,Fm-3m
292,292,mp-865017,Fm-3m
293,293,mp-865039,Fm-3m
294,294,mp-865067,Fm-3m
295,295,mp-865079,Fm-3m
296,296,mp-865091,Fm-3m
297,297,mp-865098,Fm-3m
298,298,mp-865102,Fm-3m
299,299,mp-865115,Fm-3m
300,300,mp-865149,Fm-3m
301,301,mp-865155,Fm-3m
302,302,mp-865162,Fm-3m
303,303,mp-865175,Fm-3m
304,304,mp-865178,Fm-3m
305,305,mp-865187,Fm-3m
306,306,mp-865209,Fm-3m
307,307,mp-865230,Fm-3m
308,308,mp-865248,Fm-3m
309,309,mp-865271,Fm-3m
310,310,mp-865317,Fm-3m
311,311,mp-865329,Fm-3m
312,312,mp-865334,Fm-3m
313,313,mp-865368,Fm-3m
314,314,mp-865383,Fm-3m
315,315,mp-865401,Fm-3m
316,316,mp-865420,Fm-3m
317,317,mp-865436,Fm-3m
318,318,mp-865507,Fm-3m
319,319,mp-865512,Fm-3m
320,320,mp-865519,Fm-3m
321,321,mp-865554,Fm-3m
322,322,mp-865561,Fm-3m
323,323,mp-865577,Fm-3m
324,324,mp-865587,Fm-3m
325,325,mp-865664,Fm-3m
326,326,mp-865780,Fm-3m
327,327,mp-865890,Fm-3m
328,328,mp-865925,Fm-3m
329,329,mp-865926,Fm-3m
330,330,mp-865933,Fm-3m
331,331,mp-865936,Fm-3m
332,332,mp-865940,Fm-3m
333,333,mp-866004,Fm-3m
334,334,mp-866045,Fm-3m
335,335,mp-866047,Fm-3m
336,336,mp-866062,Fm-3m
337,337,mp-866105,Fm-3m
338,338,mp-866106,Fm-3m
339,339,mp-866131,Fm-3m
340,340,mp-866197,Fm-3m
341,341,mp-866218,Fm-3m
342,342,mp-866220,Fm-3m
343,343,mp-867117,Fm-3m
344,344,mp-867118,Fm-3m
345,345,mp-867206,Fm-3m
346,346,mp-867211,Fm-3m
347,347,mp-867213,Fm-3m
348,348,mp-867224,Fm-3m
349,349,mp-867279,Fm-3m
350,350,mp-867283,Fm-3m
351,351,mp-867353,Fm-3m
352,352,mp-867372,Fm-3m
353,353,mp-867769,Fm-3m
354,354,mp-867773,Fm-3m
355,355,mp-867786,Fm-3m
356,356,mp-867812,Fm-3m
357,357,mp-867813,Fm-3m
358,358,mp-867817,Fm-3m
359,359,mp-867820,Fm-3m
360,360,mp-867882,Fm-3m
361,361,mp-867887,Fm-3m
362,362,mp-867913,Fm-3m
363,363,mp-867915,Fm-3m
364,364,mp-867916,Fm-3m
365,365,mp-867917,Fm-3m
366,366,mp-868003,Fm-3m
367,367,mp-9040,Pm-3m
368,368,mp-9060,Pm-3m
369,369,mp-9061,Pm-3m
370,370,mp-9200,Pm-3m
371,371,mp-971700,Pm-3m
372,372,mp-971704,Pm-3m
373,373,mp-971706,Pm-3m
374,374,mp-971733,Pm-3m
375,375,mp-971979,Fm-3m
376,376,mp-9721,Pm-3m
377,377,mp-972370,Fm-3m
378,378,mp-972526,Fm-3m
379,379,mp-972528,Fm-3m
380,380,mp-972541,Fm-3m
381,381,mp-972650,Fm-3m
382,382,mp-972657,Fm-3m
383,383,mp-972861,Fm-3m
384,384,mp-972931,Pm-3m
385,385,mp-972978,Pm-3m
386,386,mp-972985,Pm-3m
387,387,mp-973056,Fm-3m
388,388,mp-973068,Pm-3m
389,389,mp-973123,Pm-3m
390,390,mp-973136,Pm-3m
391,391,mp-973156,Pm-3m
392,392,mp-973267,Pm-3m
393,393,mp-973269,Pm-3m
394,394,mp-973396,Pm-3m
395,395,mp-973447,Pm-3m
396,396,mp-973471,Pm-3m
397,397,mp-973486,Pm-3m
398,398,mp-973536,Pm-3m
399,399,mp-973579,Pm-3m
400,400,mp-973613,Pm-3m
401,401,mp-973631,Fm-3m
402,402,mp-973648,Pm-3m
403,403,mp-973769,Fm-3m
404,404,mp-974708,Fm-3m
405,405,mp-974782,Fm-3m
406,406,mp-975368,Fm-3m
407,407,mp-976247,Pm-3m
408,408,mp-977361,Fm-3m
409,409,mp-977363,Fm-3m
410,410,mp-977364,Fm-3m
